a2b.night_bonus;當你的部隊抵達時，對方將有晚間防守加成！其加成為 {{BONUS}}%。
production.multiplicator;(x{{INT}})
production.complete;共計
production.oasisAmount;(x{{OASIS_AMOUNT}})
production.crobBalanceCropProduction;穀物產量
production.crobBalanceProductionSum;總產量
production.crobBalanceBuildingConsumption;建築物消耗
production.crobBalanceSubTotal;中期結餘 =
production.crobBalanceOwnTroopConsumption;自己士兵消耗
production.crobBalanceForeignTroopConsumption;外來士兵消耗
production.crobBalanceTroopConsumptionInVillage;- 在村莊裡
production.crobBalanceTroopConsumptionInOasis;- 在綠洲裡
production.crobBalanceTroopConsumptionOnTheWay;- 在路途中
production.crobBalanceTroopConsumptionCaught;- 被監禁
production.crobBalanceTroopConsumptionArtefact;工藝品加成
production.crobBalanceTroopConsumptionHorseTrough;放牧水槽
production.crobBalanceCropBalance;穀物結餘 =
production.crobBalanceTimeUntilStarvation;您的士兵將會在 {{TIME_RANGE}} 內開始餓死。
production.productionBuildingsAndOasis;建築物及綠洲的產量
production.villagersAndConstructions;人口及建築指令
production.freeCrop;可用穀物
production.notFinishedConstructionCommand;還未完成的建築指令
production.cropBalanceProductionOfHero;英雄產量
production.productionBonusLabelOasis;綠州
production.productionBoostInactive2;{{BOOST}} 產量 (未激活)
production.productionBoostActive2;{{BOOST}} 產量
production.cropBalanceTroopConsumptionWorldWonder;世界奇蹟加成
production.crobBalanceTroopConsumptionJustInOasis;- 綠洲中
production.crobBalanceTroopConsumptionOwnReinforcements; - 本村中的支援
production.crobBalanceTroopConsumptionOtherReinforcements;- 自己其他村莊中的支援
production.crobBalanceTroopConsumptionForwarded;- 軍隊在轉發中
production.no_gid1;該村莊無伐木場
production.no_gid2;該村莊無泥坑
production.no_gid3;該村莊無鐵礦場
production.compensationBonus;{{BONUS}}補償獎勵
quests.quest_intro_titel;歡迎來到Travian！
quests.quest_intro1;我知道您是這條小村莊的司令官。我將會在接下來的幾天成為您的顧問，支持您幫助您。
quests.quest_intro2;我知道您是這條小村莊的司令官。我將會在接下來的幾天成為您的顧問，支持您幫助您。
quests.quest_intro3;我知道您是這條小村莊的司令官。我將會在接下來的幾天成為您的顧問，支持您幫助您。
quests.quest_intro_heroEditorLink;你可以更改你英雄的 {{LINK-START}}外觀{{LINK-END}}。
quests.quest_wood_titel;伐木場
quests.quest_wood;在您的村莊附近有４個森林。在其中一個森林裡興建伐木場。對於我們的新聚落來說，木材是一個非常重要的資源。
quests.quest_wood_erfuellt;對，這樣您可以得到更多木材。<br><br>
quests.quest_wood_erfuellt_optional;我略出綿力幫助您，任務會馬上完成。
quests.quest_wood_short;興建伐木場。
quests.quest_farm_titel;穀物
quests.quest_farm;您的人民因為工作了一整天，肚子已經很餓了。為了使他們更有氣力工作，您需要將一塊個農場升級，增加穀物產量。完成升級後立刻回到這裡來。
quests.quest_farm_short;升級一個農場
quests.quest_farm_erfuellt;非常好。現在您的人民又有足夠的食糧了...
quests.quest_village_name_titel;您的村莊名稱
quests.quest_village_name;請運用您的創作力，為您的村莊起一個名稱。<br><br><br>在左方選單按「玩家資料」，然後選「個人資料」...
quests.quest_village_name_erfuellt;英雄所見略同！這是一個美好的村莊名稱。
quests.quest_village_name_short;或許您可以幫您的村莊起一個更好的名稱
quests.quest_rally_titel;集結點
quests.quest_rally;在你的四周，有不少有趣的地方可以冒險。可是首先你須要一個集結點。<br><br>集結點必須在村莊內的特定位置建築。有關 建築位置 是在主莊大樓的右方一點。建築物地本身是彎曲的。
quests.quest_rally_short;建立集結點
quests.quest_rally_erfuellt;你的集結點已建立。這是向世界出及的第一步。<br><br>
quests.quest_rally_erfuellt_optional;我給了你一點的協助，有關事項已即時完成。
quests.quest_first_adventure_titel;去冒險
quests.quest_first_adventure;只有英雄可以去冒險。你可在地圖內找到可以冒險的地方。幸運時，英雄還會帶回令人意想不到的寶物。
quests.quest_first_adventure_short;開始第一次冒險
quests.quest_first_adventure_erfuellt;太好了！很期待會有什麼帶回來。
quests.quest_rank1_titel;其他玩家
quests.quest_rank1;您在Travian會和無數玩家互動。在頂部清單按「統計」查閱自己的排名，然後在此輸入。
quests.quest_rank1_erfuellt1;答對了！這就是您的排名。
quests.quest_rank1_erfuellt2;您堅持下去一定會有更高的排名！小伙子，給您一些資源。
quests.quest_rank1_erfuellt3;您看來比我預期中做得更好。您的排名是{{RANG}}。這裡給您一些資源，幫您做得更好。
quests.quest_rank1_nicht_erfuellt;不，您應該在此輸入您的排名。而排名中只接受輸入有數字。
quests.quest_rank1_short;請查閱您的排名，然後在此輸入它。
quests.quest_clay_iron_titel;兩項建築任務
quests.quest_clay_iron;您需要興建一個鐵礦場和一個泥坑。要知道，鋼鐵和磚塊常常不足。謝謝使用之前給您的<b>Plus</b>-帳號，你可以直接委派任務。
quests.quest_clay_iron_erfuellt;您應該發現，完成建築任務需要頗長時間。但即使您在離線狀態，Travian世界依然繼續運作。就算只是數個月的時間，這裡總會有很多新奇事物讓您發現。<br><br>最好偶爾留意一下您的村莊以及委派新任務給您的人民。
quests.quest_clay_iron_short;升級一個鐵礦場升級一個泥坑
quests.quest_msg_titel;訊息
quests.quest_msg;您可以透過通訊系統與其他玩家談話。我已送出一條訊息給您。看完後再回到這裡。
quests.quest_msg_erfuellt;您收到了？非常好。<br><br>這裡有一些金幣。你可以用金幣做很多事情，例如，擴展你的<b>Plus</b>帳號或者增加你的資源產量。要做到這一點，請點擊你村莊上方的金幣。
quests.quest_msg_short;看新訊息
quests.quest_msg_body;請到任務主任那裡查看您得到的獎勵。<br><br><br><br>提示：此訊息為自動產生。必須提供回答。
quests.quest_neighbour_titel;鄰村
quests.quest_neighbour;您附近有很多不同的村莊。其中一個叫{{DORFNAME}}。<br><br>在畫面上方的選單按「地圖」，並尋找那個村莊。當鼠標停留在任何一個鄰近村莊上，您便可以知道村莊的名稱。
quests.quest_neighbour_nicht_erfuellt;不，這些都不是{{DORFNAME}}的座標。 <br><br>村莊名稱不是獨一無二的。如果你在統計資料中搜尋村莊名稱，可能會發現與你的搜尋村莊名稱相同的村莊，但可能不是你要找的村莊。<br><br>要完成這項任務，只須打開你的村莊周圍的地圖，你的村莊將自動出現在地圖中心。現在尋找你的鄰居並再試一次！
quests.quest_neighbour_erfuellt;對！這裡就是{{DORFNAME}}的位置！現在您將會得到與這個村莊價值相若的資源。幾乎一樣多。
quests.quest_neighbour_short;尋找 {{DORFNAME}}的座標，把它輸入在這裡。
quests.quest_heroproduction_titel;改變英雄的生產力
quests.quest_heroproduction;英雄不單是一位偉大的冒險家，他還可以幫助你生產。你可以先嘗試更改他的生產重點看看。
quests.quest_heroproduction_short;現在生產加成是 。 請在英雄的設定頁更改他的生產重點。
quests.quest_heroproduction_erfuellt;太好了！現在生產加成是 {{ROHSTOFF}}。
quests.quest_adventure_report_titel;閱讀冒險報告
quests.quest_adventure_report;你已成功完成了這次的冒險。請閱讀是次的冒險報告以了解有關的詳情。
quests.quest_adventure_report_short;閱讀冒險報告
quests.quest_adventure_report_erfuellt;很好！你已了解什麼是冒險了。
quests.quest_second_adventure_titel;第二次冒險
quests.quest_second_adventure;你的第一次冒險很成功，把握時間來進行第二次冒險吧！<br><br>請留意：你的英雄須先完成{{COUNT_ADVENTURE_REQUIRED_FOR_AUCTION}}次冒險方可購買或出售道具。
quests.quest_second_adventure_short;派出英雄到其他地方冒險
quests.quest_second_adventure_erfuellt;非常好！<br><br><b>提示：</b>更強的戰鬥力可使英雄通過更危險的冒險考驗。
quests.quest_res_one_of_each_titel;每項都要！
quests.quest_res_one_of_each;在Travian不會無所事事！當您正在等待新的軍隊，您可以將其中一個伐木場、泥坑、鐵礦場和農場升到等級１。
quests.quest_res_one_of_each_short;將能開發不同資源的４塊資源田升到等級１。
quests.quest_res_one_of_each_erfuellt;非常好，您的資源生產量開始變得興旺。
quests.quest_res_all_one_titel;全部升到等級1！
quests.quest_res_all_one;現在，我們應該稍為增加您的資源產量。將所有資源田升到等級１。
quests.quest_res_all_one_short;將所有資源田升到等級１。
quests.quest_res_all_one_erfuellt;非常好，您的資源生產量開始變得興旺。<br><br>我們很快就可以開始在村莊裡興建建築物。
quests.quest_medal_titel;象徵和平的白鴿
quests.quest_medal;您成功註冊後會開始備受保護，其他玩家不能在這段時間攻擊您。您可以加這個代碼<b>{{#0}}</b>到你的個人資料，以便查閱受保護的時間會維持多久。
quests.quest_medal_erfuellt;幹得好！現在，每個人都能夠見識到什麼是驍勇善戰的戰士。
quests.quest_medal_short;請在您的個人資料內填上這個代碼<b>{{CODE}}</b>。
quests.quest_hide_titel;山洞
quests.quest_hide;是時候建立一個山洞了。您要知道，Travian的世界非常危險。<br><br>很多玩家會為了生存而去偷取其他玩家的資源。不過，興建一個山洞則可以把您一部份的資源藏起來，防禦敵人。
quests.quest_hide_erfuellt;很好，你的村莊已建成了一個山洞。<br><br>如果你的村莊被攻擊，山洞會為你保存一定數目的資源。
quests.quest_hide_short;興建一個山洞
quests.quest_res_two_of_each_titel;升到等級2！
quests.quest_res_two_of_each;在Travian不會無所事事！將其中一個伐木場、泥坑、鐵礦場和農場升到等級2。
quests.quest_res_two_of_each_short;將能開發不同資源的4塊資源田升到等級 2。
quests.quest_res_two_of_each_erfuellt;非常好，您的村莊正在繁榮發展！
quests.quest_cost_titel;遊戲指南
quests.quest_cost;在遊戲內的說明，你可找到有關建築物的簡介。<br><br>請點擊黑色格的左下角，看看建築兵營須多少木材。
quests.quest_cost_erfuellt;答對了！興建兵營正需要210木材。
quests.quest_cost_nicht_erfuellt1;不，兵營比這個便宜。
quests.quest_cost_nicht_erfuellt2;不，兵營比這個昂貴。
quests.quest_cost_short;輸入興建兵營所需的木材數量
quests.quest_main_titel;村莊大樓
quests.quest_main;您的建築師們需要先興建等級3的村莊大樓，然後才可以興建其他重要的建築物，如市場或兵營。
quests.quest_main_erfuellt;幹得好。村莊大樓已升級至等級3。<br><br>現在，您的建築師不但可以興建更多不同種類的建築物，而且可以用更快的速度完成興建。
quests.quest_main_short;升級村莊大樓到等級3。
quests.quest_rank2_titel;升級了！
quests.quest_rank2;再次查閱您的玩家排名吧，盡情享受您的進步！
quests.quest_rank2_erfuellt;幹得好！這是您現在的排名。
quests.quest_rank2_nicht_erfuellt1;做得好！再試一次！
quests.quest_rank2_nicht_erfuellt2;如果您您繼續努力練習，不久的將來您一定能創下佳績。再試一次！
quests.quest_rank2_nicht_erfuellt;不，您應該在此輸入您的排名。而排名中只接受輸入有數字。
quests.quest_rank2_short;查閱您的排名，然後在此輸入它。
quests.quest_granary_barracks_titel;武器或金錢
quests.quest_granary_barracks;現在您需要作出決擇：進行一場和平的交易，還是做一個令人聞風喪膽的戰士。<br><br>您需要一間穀倉才可興建市場；至於興建兵營，您則需要一個集結點。
quests.quest_granary_barracks2;您選擇了進行交易和促進經濟繁榮。繁盛時期即將來臨！
quests.quest_granary_barracks2_erfuellt;幹得好！有了這個穀倉，您可以儲存更多穀物。
quests.quest_granary_barracks2_short;建立穀倉
quests.quest_granary_barracks2_erfuellen;軍事
quests.quest_granary_barracks1;真是一個勇敢的決定！您需要一個兵營才可生產士兵。
quests.quest_granary_barracks1_erfuellt;您的兵營己成功建立！開始向統治世界進發！
quests.quest_granary_barracks1_short;建立兵營
quests.quest_granary_barracks1_erfuellen;經濟
quests.quest_warehouse_units1_titel;訓練
quests.quest_warehouse_units2_titel;倉庫
quests.quest_warehouse_units1;現在您已有一個兵營，您可以開始生產士兵。您需要生產兩個 {{UNITS}}。
quests.quest_warehouse_units2;米糧不是唯一必須的資源，其他的資源都須要有地方貯存以免浪費！建造一個倉庫！
quests.quest_warehouse_units1_erfuellt;你的軍隊已經就位！<br><br>派你的軍隊去掠奪之前，應該先用戰鬥模擬器確認一下，看看要在毫無損失的情況下成功對抗一個鼠輩需要多少軍隊。
quests.quest_warehouse_units2_erfuellt;做得好！倉庫已建成了。<br><br>現在你應為未來而建造一個市場。
quests.quest_warehouse_units1_short;訓練兩個 {{UNITS}} 。
quests.quest_warehouse_units2_short;建立倉庫
quests.quest_market_wall1_1_titel;建立城牆
quests.quest_market_wall1_2_titel;建立土牆
quests.quest_market_wall1_3_titel;建立木牆
quests.quest_market_wall2_titel;市場
quests.quest_market_wall1_1;現在您已經訓練的士兵，您應該建立一個城牆了。它能增加防禦和您的士兵將獲得防禦獎勵。
quests.quest_market_wall1_2;現在您已經訓練的士兵，您應該建立一個土牆了。它能增加防禦和您的士兵將獲得防禦獎勵。
quests.quest_market_wall1_3;現在您已經訓練的士兵，您應該建立一個木牆了。它能增加防禦和您的士兵將獲得防禦獎勵。
quests.quest_market_wall2;建立一級市場，你可以和其他玩家進行交易。
quests.quest_market_wall1_1_erfuellt;做得好，已建立一級城牆。您的村莊會得到更好的保護。
quests.quest_market_wall1_2_erfuellt;做得好，已建立一級土牆。您的村莊會得到更好的保護。
quests.quest_market_wall1_3_erfuellt;做得好，已建立一級木牆。您的村莊會得到更好的保護。
quests.quest_market_wall2_erfuellt;市場已建成！你現在可以跟其他的玩家交易。請常查看市場以了解其他現家的需要，從中獲利！
quests.quest_market_wall1_1_short;建立城牆
quests.quest_market_wall1_2_short;建立土牆
quests.quest_market_wall1_3_short;建立木牆
quests.quest_market_wall2_short;建立市場
quests.quests;任務
quests.quest_titel;任務 {{QUEST_NR}}：
quests.quest_erfuellt;任務完成！
quests.quest_erfuellen;完成任務
quests.alle_erfuellt;全部任務完成
quests.quest_weiter;取得獎勵及繼續執行下一個任務
quests.quest_weiter_ohne_belohnung;繼續執行下一個任務
quests.startnow;第一個任務！
quests.wait;您自己到處看看
quests.sofort;{{BUILDING}} 馬上完成
quests.auftrag;任務：
quests.belohnung;您的獎勵：
quests.ein_tag;一天
quests.tage;{{DAYS}}日
quests.zum_quest;任務
quests.questgeber_spielername;任務系統
quests.questgeber_dorfname;長老村
quests.alle_erfuellt_text;你已完成所有的任務。接下來就要靠你自己的能力了！ <br>為此我先送你一點資源。祝你成功！
quests.back_to_overview;返回概況
quests.finish_quest;完成任務
quests.allreadyFinished;任務已完成
quests.n00bschutz_bis;您會備受新手保護直至{{TIMER}}。
quests.n00bschutz_aus;您的新手保護期限已到。現在誰也可以攻擊您了！
quests.quest_msg_subject;任務主任的來信
quests.quests_deaktivieren;完成新手任務可讓您得到一些資源及試用金幣。 <br><br> <br>如果您不想完成這些新手任務，您可以在這裡永久取消這些任務。<br><br>請注意：任務取消後並不能重新啟動。
quests.quests_deaktivieren_ja;決定跳過所有任務
quests.quests_deaktivieren_nein;繼續完成任務
quests.quests_deaktivieren_button;跳過所有任務
quests.alt_all_performed;已完成全部任務！
quests.alt_ask_no_quests;沒有其他任務？
quests.alt_title;資源概覽
quests.alt_your_rewards;運送給您的資源
quests.alt_reward;項目
quests.alt_reward_time;運送時間
quests.alt_reward_status;狀態
quests.alt_reward_collect;取出
quests.alt_reward_status_received;已取出
quests.alt_reward_status_waiting;未能取出
quests.quest_freunde_erfuellt;正確。如果你跟同伴是互相幫助，你會發現成立第二個村莊要容易得多。
quests.quest_freunde;一個人無論如何強大，都抵擋不住四方八面的攻擊。如果你的鄰居喜歡你，對你是有利的。 <br><br>何不邀請朋友一同戰鬥？而且更可獲得免費的金幣。
quests.quest_freunde_short;邀請朋友能有多少金幣呢?
quests.quest_freunde_titel;朋友們
quests.quest_freunde_gold_verdienen_link;點擊這裡了解更多關於賺取金幣的方式。
quests.quest_res_all_two_titel;全部升到等級2！
quests.quest_res_all_two;現在又是擴展勢力和財富的時候了！這次升到等級1是不足夠的...雖然升級需時，但絕對物有所值。將全部資源升到等級2！
quests.quest_res_all_two_short;將全部資源田升到等級2。
quests.quest_res_all_two_erfuellt;恭喜! 您的村莊正在繁榮發展！
quests.quest_market_barracks1_titel;建立等級1市場
quests.quest_market_barracks1;是時候加強經濟！建造一個市場。
quests.quest_market_barracks1_short;建立市場
quests.quest_market_barracks1_erfuellt;很好！您可以發送資源支援您的朋友
quests.quest_market_barracks2_titel;建立等級1兵營。
quests.quest_market_barracks2;是時候為戰爭作出準備。建造一個兵營。
quests.quest_market_barracks2_short;建立兵營
quests.quest_market_barracks2_erfuellt;很好，你可訓練部隊保護自己了。
quests.quest_dispatch_titel;大使館
quests.quest_dispatch;您要知道，Travian的世界非常危險。你雖然已有山洞為你貯藏資源。可見志同道合的盟友更值得信賴！<br><br>如果要加入一個公會，請先建造一個大使館。
quests.quest_dispatch_short;建立大使館
quests.quest_dispatch_erfuellt;很好，大使館建好了。你可以接受公會的加盟邀請了。若要這樣做，只須按一下大使館。
quests.quest_alliance_titel;公會
quests.quest_alliance;在TRAVIAN內合作是很重要的。一起並肩作戰的玩家可組織成聯盟。<br><br>請嘗試加入一個公會以便一同戰鬥。<br>當然，你亦可以嘗試自己創立一個公會。若要這樣做，你需要一個3級大使館。
quests.quest_alliance_short;加入或創立一個公會。
quests.quest_alliance_erfuellt;很好！沒有同伴是不可能在TRAVIAN內生存的！加入好的聯盟非常重要。
quests.quest_finished_ten_adventures_titel;10 次冒險！
quests.quest_finished_ten_adventures;你永遠可以在地圖上找到新的冒險。請進行十次冒險以成為傳說中的勇者。<br><br>隨著冒險的次數增多，其難度亦會相應提昇，當然可尋獲的寶物亦會愈珍貴。請留意，如果英雄的戰鬥力不足，是很難通過冒險中的種種考驗的。玩家越強大，就越能成爲更堅韌的冒險家！
quests.quest_finished_ten_adventures_short;已完成10 次冒險！
quests.quest_finished_ten_adventures_erfuellt;非常好，你的英雄已成為傳說中的勇者！
quests.quest_main_on_five_titel;村莊大樓升至5級。
quests.quest_main_on_five;要建造皇宮或行宮，你須要等級5的村莊大樓。
quests.quest_main_on_five_short;把你的的村莊大樓升至等級5。
quests.quest_main_on_five_erfuellt;棒極了！你可建築的建築物種類增加了。
quests.quest_granary_on_three_titel;升級穀倉到3級。
quests.quest_granary_on_three;為免不夠位置存放糧食，我建議增大你的糧倉。
quests.quest_granary_on_three_short;把你的的糧倉升至等級3。
quests.quest_granary_on_three_erfuellt;十分好，你現有更多的空間存放糧食了。
quests.quest_warehouse_on_seven_titel;升級倉庫到7級。
quests.quest_warehouse_on_seven;為免不夠位置存放資源，我建議增大你的倉庫。
quests.quest_warehouse_on_seven_short;把你的的倉庫升至等級7。
quests.quest_warehouse_on_seven_erfuellt;很好，現在你暫時不用擔心資源的存放了。
quests.quest_res_all_five_titel;所有至5
quests.quest_res_all_five;資源是永遠都不夠用的。要發展經濟要付出很多，不過回報是很可觀的。
quests.quest_res_all_five_short;把全部資源田升至等級5。
quests.quest_res_all_five_erfuellt;實在利害！ 你的產量真是驚人。
quests.quest_palace_or_residence_titel;皇宮還是行宮？
quests.quest_palace_or_residence;要開拓新的村莊，你須要拓荒者。那你先須要建造一座皇宮或是行宮。
quests.quest_palace_or_residence_short;建造一座十級的皇宮或是行宮。
quests.quest_palace_or_residence_erfuellt;很好，你可以開始訓練拓荒者了。
quests.quest_three_settlers_titel;3個開拓者。
quests.quest_three_settlers;要開拓新的村莊，你須要拓荒者。你可以在皇宮或是行宮內訓練他們。
quests.quest_three_settlers_short;訓練3個開拓者。
quests.quest_three_settlers_erfuellt;好！ 你可以出發找尋新的村莊了！
quests.quest_new_village_titel;新村莊
quests.quest_new_village;在世界上有很多未開拓的荒地。你可以在任何一個建立你的新村莊。
quests.quest_new_village_short;開拓新村落。
quests.quest_new_village_erfuellt;我為你感到驕傲！你已踏出成為大帝王的第一步！明日的世界將是屬於你的帝國！
quests.quest_parallel_title;未完成的任務：
quests.quest_no_reward;無
quests.quest_lumber_titel;伐木場
quests.quest_lumber;在您的村莊附近有４個森林。在其中一個森林裡興建伐木場。對於我們的新聚落來說，木材是一個非常重要的資源。
quests.quest_lumber_erfuellt;對，這樣您可以得到更多木材。<br><br>
quests.quest_lumber_erfuellt_optional;我略出綿力幫助您，任務會馬上完成。
quests.quest_lumber_short;興建伐木場。
quests.beginners_protection_until;您會備受新手保護直至{{TIMER}}。
quests.beginners_protection_expired;您的新手保護期限已到。現在誰也可以攻擊您了！
questsAS2019.economy_00_name;倉庫
questsAS2019.economy_00_step_01_description;倉庫是用來存儲生產的建築材料的。建築一個倉庫，您可以存儲更多建築材料，建造更複雜、更昂貴的建築物。
questsAS2019.economy_00_step_01_todolist;建造倉庫
questsAS2019.economy_00_step_02_description;倉庫建好后，一旦倉庫再次填滿，生產便會在更長時間后停止。
questsAS2019.economy_00_reward_description;立即完成倉庫等級1並升級到等級2
questsAS2019.economy_01_name;鐵礦
questsAS2019.economy_01_answer;320
questsAS2019.economy_01_step_01_description;更多資源！在您建造的村莊中建造一個鐵礦場。
questsAS2019.economy_01_step_01_todolist;在您建造的村莊中開始升級一個鐵礦場
questsAS2019.economy_01_step_02_description;為您建造的村莊提高鋼鐵產量。產量加成可以幫助您進一步提高資源的產量。
questsAS2019.economy_01_step_02_reward;一天內所有資源都有25%的生產加成
questsAS2019.economy_02_name;更多資源
questsAS2019.economy_02_answer;321
questsAS2019.economy_02_step_01_description;在您建造的村莊中，升級每種資源（鋼鐵，木材，磚塊和穀物）的兩塊田地至6級。 請記住，Travian PLUS激活的時候，您會獲得額外的一個建造等待序列。
questsAS2019.economy_02_step_01_todolist;在您建造的村莊中，每種資源的兩塊田地升級至6級。
questsAS2019.economy_02_step_02_description;恭喜! 您建造的村莊正在繁榮發展...
questsAS2019.economy_03_reward_description;立即完成穀倉等級1並升級到等級2
questsAS2019.economy_04_name;全部至6
questsAS2019.economy_04_answer;323
questsAS2019.economy_04_step_01_description;擴大財富是增強力量的基礎。在您建造的村莊中升級所有資源田至6級！
questsAS2019.economy_04_step_01_todolist;將建造的村莊中的全部資源田升級至6級
questsAS2019.economy_04_step_02_description;所建造村莊中的資源生產發展得很好。馬上我們要開始繼續建造更多的建築。
questsAS2019.economy_05_name;至7級！
questsAS2019.economy_05_answer;324
questsAS2019.economy_05_step_01_description;繼續提高您所建造村莊中的產量。把4種類中的一個資源田都升級至7級！
questsAS2019.economy_05_step_01_todolist;在您建造的村莊中，升級每種資源的一塊田地至7級。
questsAS2019.economy_05_step_02_description;幹得好！升級鋼鐵，木材，磚塊和穀物各一塊田地至2級！
questsAS2019.economy_08_name;全部至7級
questsAS2019.economy_08_answer;327
questsAS2019.economy_08_step_01_description;您建造的村莊發展的很好，但我們要繼續提高資源產量。升級所有資源田至7級。
questsAS2019.economy_08_step_01_todolist;將建造的村莊中的全部資源田升級至7級
questsAS2019.economy_08_step_02_description;您的第一個村莊不就將於每個人的匹敵了！
questsAS2019.economy_09_step_01_description;這是時間來調整您的倉庫，以增加生產。
questsAS2019.economy_12_name;所有至8級
questsAS2019.economy_12_answer;331
questsAS2019.economy_12_step_01_description;您的產量越高，越早您就可以完成下一個村莊所需要的建築和開拓者。在您建造的村莊中升級所有資源田至8級。
questsAS2019.economy_12_step_01_todolist;在您建造的村莊中升級所有資源田至8級
questsAS2019.economy_12_step_02_description;您所建造的村莊的產量增長非常好！
questsAS2019.economy_12_step_02_reward;一天所有資源產量+25%加成
questsAS2019.newvillage_00_name;倉庫
questsAS2019.newvillage_00_step_01_description;您的新村莊中也需要一間倉庫，存储建筑材料。建築一個倉庫，您可以存儲更多建築材料，建造更複雜、更昂貴的建築物。
questsAS2019.newvillage_00_step_01_todolist;建造倉庫
questsAS2019.newvillage_00_step_02_description;倉庫建好后，一旦倉庫再次填滿，生產便會在更長時間后停止。
questsAS2019.newvillage_01_name;鐵礦場
questsAS2019.newvillage_01_step_01_description;兩個村莊比一個村莊有更高的產出！在您的第二個村莊中建造一個鐵礦場。
questsAS2019.newvillage_01_step_01_todolist;在您的第二個村莊中開始建造一個鐵礦場
questsAS2019.newvillage_01_step_02_description;為您的第二個村莊提高鋼鐵產量。產量加成可以幫助您進一步提高資源的產量。
questsAS2019.newvillage_01_step_02_reward;一天所有資源的+25%加成
questsAS2019.newvillage_02_name;更多資源
questsAS2019.newvillage_02_step_01_description;在您的第二個村莊中，將每種資源（鋼鐵、木材、磚塊和穀物）的兩塊田地升至6級。 請記住，只要Travian PLUS帳號處於激活狀態，您就能利用額外的一個建造槽位。
questsAS2019.newvillage_02_step_01_todolist;在您的第二個村莊中，將每種資源的兩塊田地升至6級。
questsAS2019.newvillage_02_step_02_description;恭喜! 您的第二個村莊繁榮壯大了...
questsAS2019.newvillage_03_name;全部至6
questsAS2019.newvillage_03_step_01_description;擴大財富是增強力量的基礎。在您第二個村莊中，升級所有資源田至6級！
questsAS2019.newvillage_03_step_01_todolist;將您第二個村莊中所有的資源田升至6級。
questsAS2019.newvillage_03_step_02_description;第二個村莊發展的很好。馬上我們要開始繼續建造更多的建築。
questsAS2019.newvillage_04_name;至7級！
questsAS2019.newvillage_04_step_01_description;繼續提高您第二個村莊的產量。把4種類中的一個資源田都升級至7級！
questsAS2019.newvillage_04_step_01_todolist;在您的第二個村莊中，將每種資源的一塊田地升至7級。
questsAS2019.newvillage_04_step_02_description;幹得好！升級鋼鐵，木材，磚塊和穀物各一塊田地至2級！
questsAS2019.newvillage_05_name;全部至7級
questsAS2019.newvillage_05_step_01_description;您的第二個村莊發展的很好，但我們要繼續提高資源產量。升級所有資源田至7級。
questsAS2019.newvillage_05_step_01_todolist;將您第二個村莊中所有的資源田升至7級。
questsAS2019.newvillage_05_step_02_description;很快您的第二個村莊就要和第一個村莊一樣繁榮了！
questsAS2019.newvillage_07_name;所有至8級
questsAS2019.newvillage_07_step_01_description;您的產量越高，越早您就可以完成下一個村莊所需要的建築和開拓者。將您第二個村莊中所有的資源田升至8級。
questsAS2019.newvillage_07_step_01_todolist;將您第二個村莊中所有的資源田升至8級
questsAS2019.newvillage_07_step_02_description;您第二個村莊的產量增長非常好！ !
questsAS2019.newvillage_07_step_02_reward;一天所有資源產量+25%加成
questsAS2019.world_14_a_name;穀倉等級7
questsAS2019.world_14_a_step_01_description;穀倉越大，可以容納的穀物就更多，就更能供給您的軍隊。將它升至7級。
questsAS2019.world_14_a_step_01_todolist;將穀倉升至7級。
questsAS2019.world_14_a_step_02_description;您的村莊現在已準備就緒，可以為您的許多同盟軍提供支援。
questV2.battle;戰役
questV2.world;伺服器
questV2.economy;經濟
questV2.tutorial_layoutdescription;教程布局描述
questV2.your_reward;您的獎勵:
questV2.gain_reward;收集獎勵
questV2.overview;概況
questV2.next;更多
questV2.skip;跳過教學
questV2.skip_tooltip;跳至教學結尾
questV2.your_tasks;任務:
questV2.taskoverview;任務列表:
questV2.no_quests_in_this_category;本分類已無任務。
questV2.toggleTips;提示開闢
questV2.activateTips;顯示本任務夫的提示
questV2.deactivateTips;關閉提示
questV2.tutorial_01_name;歡迎
questV2.tutorial_01_task_description;{{NAME}}您好, 歡迎來到 Travian!<br>直到您找到您的下一個村莊，我會引導您了解遊戲。在本教程中，您將構建您的村莊，了解更多關於該遊戲的特點和目標。
questV2.tutorial_01_task_image;您的顧問和任務主管
questV2.tutorial_01_step_01_layoutdescription;開始教學
questV2.tutorial_01_step_01_todolist;本教程介紹了主要的遊戲功能，只需要一兩分鐘-從現在開始！
questV2.tutorial_02_name;任務 02
questV2.tutorial_02_task_description;您可以移動或關閉此窗口。如要再次打開它，只要按一下我的形象的右下角。提示會給您一些幫助。
questV2.tutorial_02_task_image;您的顧問和任務主管
questV2.tutorial_02_step_01_layoutdescription;關閉教程窗口
questV2.tutorial_02_step_01_todolist;關閉本教程窗口
questV2.tutorial_02_step_02_layoutdescription;打開顧問說明
questV2.tutorial_02_step_02_todolist;點擊顧問以打開任務說明
questV2.tutorial_02_step_03_layoutdescription;關閉說明
questV2.tutorial_02_step_03_todolist;關閉幫助功能
questV2.tutorial_02_reward_description;現在，您可以隨時獲取有關當前任務的信息。收集您的獎勵，接下來的任務將被激活。立即收集泥土！
questV2.tutorial_02_reward;黏土坑1級等著您！
questV2.tutorial_02_reward_image;粘土坑1級
